University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"Shanghai Jiao Tong University",29.4,28.5,27.8,3.0,3.3,3.3,17173.0,15419.0,14220.0,55733.0,107620.0,148579.0,1.2,1.28,1.3,16.5,17.9,17.1,33.0,34.7,32.8,3.2,7.0,10.4,24854.0,22643.0,20781.0,2.2424157077331617,4.752903767168662,7.1497521774698045,0.690955178240927,0.6809610034006095,0.6842789086184495,149.0,1
"University of Warwick",55.7,55.0,52.3,6.9,7.4,6.8,4244.0,4247.0,4054.0,17794.0,46200.0,61616.0,1.83,2.37,2.23,18.8,20.4,21.0,42.6,46.1,45.0,4.2,10.9,15.2,3068.0,3100.0,2925.0,5.79986962190352,14.903225806451612,21.065299145299146,1.3833116036505868,1.37,1.385982905982906,131.0,1
"Ludwig Maximilian University of Munich",53.9,52.9,52.8,6.1,6.5,6.4,7444.0,6920.0,6907.0,35868.0,67488.0,116035.0,1.83,1.78,2.1,21.2,24.7,25.9,38.2,40.2,42.2,4.8,9.8,16.8,7364.0,7146.0,7073.0,4.870722433460076,9.44416456759026,16.40534426693058,1.0108636610537751,0.96837391547719,0.9765304679768132,166.0,1
"University of Amsterdam",57.1,57.0,55.4,4.6,4.3,4.2,8867.0,8288.0,7927.0,43534.0,84304.0,133462.0,2.13,2.08,2.29,22.7,24.3,26.2,40.3,41.8,43.7,4.9,10.2,16.8,7852.0,7171.0,6690.0,5.5443199184921035,11.756240412773671,19.949476831091182,1.1292664289353032,1.1557662808534375,1.1849028400597907,175.0,1
"University of Texas at Austin",37.8,37.0,36.6,6.1,5.8,6.6,8980.0,8756.0,9046.0,38807.0,80737.0,132006.0,1.92,1.93,2.1,19.6,22.2,24.0,42.9,43.8,45.5,4.3,9.2,14.6,8985.0,8893.0,9643.0,4.319087367835281,9.07871359496233,13.689308306543607,0.9994435169727324,0.984594624985944,0.938089806076947,186.0,1
"Universität Heidelberg",57.5,54.3,53.3,8.1,8.4,7.8,7238.0,7134.0,6876.0,40054.0,80429.0,128415.0,2.1,2.1,2.21,23.8,25.1,26.5,39.0,39.7,41.2,5.5,11.3,18.7,7285.0,7336.0,6992.0,5.498146877144818,10.963604143947656,18.36598970251716,0.9935483870967742,0.972464558342421,0.9834096109839817,180.0,1
"University of Glasgow",57.2,55.4,53.3,7.3,8.4,7.8,5187.0,4961.0,4675.0,24858.0,57631.0,79124.0,2.12,2.31,2.27,21.3,23.0,23.4,46.6,48.9,46.2,4.8,11.6,16.9,4338.0,4232.0,4083.0,5.730290456431535,13.617911153119092,19.378888072495712,1.1957123098201936,1.1722589792060492,1.144991427871663,158.0,1
"University of Washington",38.1,37.1,35.8,6.2,6.6,6.3,13412.0,12725.0,12723.0,66646.0,151788.0,227529.0,2.09,2.41,2.39,21.7,25.9,25.6,42.4,46.0,46.5,5.0,11.9,17.9,12821.0,12379.0,12256.0,5.198190468762187,12.261733581064707,18.564703002610965,1.0460962483425629,1.0279505614346878,1.0381037859007833,246.0,1
"National Taiwan University",37.5,36.3,32.9,3.8,3.9,4.0,6187.0,6226.0,6266.0,22503.0,47491.0,73393.0,1.45,1.46,1.5,15.6,16.1,15.6,39.9,45.3,44.0,3.6,7.6,11.7,7361.0,7320.0,7547.0,3.0570574650183397,6.487841530054645,9.724791307804425,0.8405108001630214,0.8505464480874317,0.830263680932821,133.0,1
"University of Malaya",57.6,52.5,52.2,1.7,1.4,1.3,4039.0,4472.0,4791.0,15364.0,33882.0,55912.0,1.5,1.51,1.5,18.4,19.3,20.5,25.9,28.2,32.8,3.8,7.6,11.7,4252.0,4591.0,4793.0,3.6133584195672626,7.3800914833369635,11.665345295222199,0.9499059266227657,0.9740797211936397,0.9995827248070103,110.0,1
"Osaka University",30.2,29.9,29.0,6.8,7.0,7.2,6538.0,6451.0,6544.0,19337.0,39881.0,60233.0,1.13,1.15,1.13,14.1,14.7,14.8,30.3,33.5,33.2,3.0,6.2,9.2,7011.0,7078.0,7189.0,2.7580944230494935,5.634501271545634,8.37849492279872,0.9325345885037798,0.9114156541395875,0.9102795938238977,120.0,1
"Georgia Institute of Technology",45.5,43.7,41.8,7.6,7.4,7.6,6060.0,5952.0,5766.0,26002.0,61257.0,83647.0,1.83,2.07,2.03,21.2,23.7,23.1,47.0,48.0,48.2,4.3,10.3,14.5,5514.0,5173.0,5038.0,4.71563293434893,11.841677943166442,16.603215561730845,1.0990206746463547,1.1505895998453508,1.144501786423184,152.0,1
"Universidad de Buenos Aires",40.6,39.9,41.2,1.3,1.2,1.9,3422.0,3353.0,3303.0,8805.0,17029.0,26347.0,1.01,0.98,1.0,10.8,10.8,11.6,25.6,27.3,28.5,2.6,5.1,8.0,4820.0,4702.0,4720.0,1.8267634854771784,3.6216503615482774,5.581991525423729,0.7099585062240664,0.7131008081667376,0.6997881355932203,92.0,1
"University of Illinois at Urbana-Champaign",39.4,37.7,38.1,5.0,5.7,5.3,7623.0,7677.0,7571.0,31989.0,64794.0,109178.0,1.75,1.8,1.99,20.0,20.6,21.6,42.1,44.2,45.2,4.2,8.4,14.4,7259.0,7216.0,6861.0,4.406805345088856,8.97921286031042,15.912840693776417,1.0501446480231438,1.0638858093126387,1.1034834572219794,157.0,1
"University of Zurich",65.0,63.3,62.6,5.3,5.8,5.0,7596.0,7437.0,6711.0,35568.0,78804.0,109560.0,1.95,2.09,2.13,22.2,23.8,24.7,42.1,44.5,45.0,4.7,10.6,16.3,7185.0,7105.0,7113.0,4.9503131524008355,11.09134412385644,15.402783635596794,1.0572025052192067,1.0467276565798733,0.9434837621256854,168.0,1
"Sorbonne University",100.0,60.0,75.0,0.0,0.0,0.0,5.0,5.0,4.0,4.0,13.0,6.0,0.33,1.75,0.7,0.0,0.0,0.0,20.0,0.0,50.0,0.8,2.6,1.5,3.0,5.0,5.0,1.3333333333333333,2.6,1.2,1.6666666666666667,1.0,0.8,4.0,1
"University of Durham",56.6,54.4,53.6,3.7,3.3,3.2,2852.0,2699.0,2809.0,11691.0,20921.0,34526.0,1.58,1.59,1.65,18.7,20.5,20.8,39.2,41.7,42.5,4.1,7.8,12.3,2041.0,1947.0,2009.0,5.728074473297403,10.745249101181304,17.18566450970632,1.3973542381185693,1.3862352336928607,1.39820806371329,96.0,1
"University of Sheffield",52.2,48.9,49.9,6.4,6.1,6.8,5091.0,5239.0,5019.0,22512.0,49399.0,77000.0,1.86,1.89,2.08,20.1,21.3,21.7,42.2,44.0,43.5,4.4,9.4,15.3,4339.0,4342.0,4062.0,5.188292233233464,11.377015200368493,18.9561792220581,1.1733118230006914,1.2065868263473054,1.2355982274741506,135.0,1
"KU Leuven",65.2,62.5,62.4,5.9,5.9,5.7,9662.0,9074.0,8824.0,41116.0,84563.0,124001.0,1.86,1.94,1.95,19.5,22.1,21.7,42.0,42.6,43.3,4.3,9.3,14.1,8638.0,8274.0,8024.0,4.759898124565872,10.22032874063331,15.45376370887338,1.1185459597128966,1.096688421561518,1.0997008973080757,178.0,1
"University of Copenhagen",63.0,59.4,57.7,8.1,7.4,7.6,10688.0,10531.0,10525.0,53252.0,110659.0,174369.0,2.02,2.04,2.11,22.9,24.7,25.6,42.0,43.6,44.1,5.0,10.5,16.6,10955.0,10768.0,10542.0,4.860976722957553,10.276653046062407,16.540409789413772,0.9756275673208581,0.9779903417533432,0.9983874027698729,206.0,1
"University of Birmingham",56.5,51.3,52.2,7.1,7.1,7.3,5530.0,5286.0,5160.0,26747.0,54715.0,86907.0,2.13,2.14,2.18,22.2,22.7,24.3,44.1,44.9,42.8,4.8,10.4,16.8,4475.0,4371.0,4267.0,5.976983240223464,12.5177304964539,20.367236934614482,1.235754189944134,1.209334248455731,1.2092805249589875,150.0,1
"Tohoku University",33.0,33.1,32.4,5.9,6.0,6.6,6392.0,6260.0,6340.0,18997.0,38809.0,60737.0,1.05,1.15,1.15,13.4,14.1,14.5,28.6,31.7,32.5,3.0,6.2,9.6,6740.0,6462.0,6748.0,2.818545994065282,6.005725781491798,9.00074096028453,0.9483679525222551,0.9687403280718044,0.939537640782454,109.0,1
"Korea University",30.5,29.9,29.9,4.7,4.9,5.3,5429.0,5289.0,5203.0,20370.0,44603.0,57031.0,1.34,1.57,1.44,17.5,17.7,16.3,41.1,39.8,36.0,3.8,8.4,11.0,5477.0,5480.0,5239.0,3.7191893372284097,8.139233576642336,10.885856079404466,0.9912360781449698,0.9651459854014599,0.9931284596297003,118.0,1
"University of Auckland",58.4,56.5,53.7,3.0,3.8,3.4,4962.0,4750.0,4515.0,18288.0,41583.0,52558.0,1.73,2.0,1.85,16.5,19.1,17.0,34.4,38.1,37.1,3.7,8.8,11.6,3915.0,3825.0,3611.0,4.671264367816092,10.871372549019608,14.554970922182221,1.2674329501915709,1.2418300653594772,1.2503461644973692,117.0,1
"Lomonosov Moscow State University",31.3,32.8,34.3,2.6,2.7,2.9,8040.0,7391.0,6852.0,17631.0,37914.0,54738.0,0.82,0.95,0.96,8.9,9.5,9.7,15.6,16.9,17.5,2.2,5.1,8.0,7620.0,6997.0,6732.0,2.313779527559055,5.4186079748463625,8.131016042780749,1.0551181102362204,1.056309847077319,1.017825311942959,115.0,1
"Rice University",48.3,46.8,46.0,4.7,4.1,5.3,2280.0,2225.0,2129.0,11511.0,23593.0,34139.0,1.91,2.07,1.94,25.0,28.0,27.7,51.0,56.0,53.9,5.0,10.6,16.0,2013.0,1958.0,1935.0,5.718330849478391,12.049540347293156,17.642894056847545,1.1326378539493294,1.1363636363636365,1.1002583979328164,118.0,1
"University of Western Australia",59.1,57.3,57.1,3.7,4.0,3.5,5367.0,5340.0,5237.0,23515.0,56342.0,82133.0,1.95,2.09,2.2,20.2,21.0,21.8,40.3,40.9,39.8,4.4,10.6,15.7,4142.0,4026.0,4020.0,5.677209077740222,13.994535519125684,20.431094527363182,1.2957508450024142,1.3263785394932937,1.3027363184079601,140.0,1
"Pohang University of Science And Technology",36.9,35.9,35.3,8.0,9.0,7.8,2063.0,1967.0,2113.0,8536.0,17985.0,25920.0,1.29,1.56,1.38,21.6,25.3,20.6,49.9,54.9,52.2,4.1,9.1,12.3,2201.0,2297.0,2244.0,3.878237164925034,7.82977797126687,11.550802139037433,0.9373012267151295,0.8563343491510667,0.9416221033868093,97.0,1
"University of Science and Technology of China",30.3,30.1,31.6,2.9,2.6,2.5,9010.0,7422.0,6472.0,41922.0,73328.0,92295.0,1.47,1.58,1.55,23.2,24.5,24.4,43.2,44.5,45.6,4.7,9.9,14.3,11330.0,9264.0,7914.0,3.7000882612533097,7.915371329879102,11.662244124336619,0.795233892321271,0.8011658031088082,0.8177912560020217,149.0,1
"University of North Carolina",34.1,32.0,31.4,5.5,5.1,5.2,8725.0,8489.0,8181.0,39929.0,85758.0,133615.0,1.98,2.08,2.23,19.5,22.7,23.4,41.6,45.3,44.1,4.6,10.1,16.3,8701.0,8425.0,8245.0,4.58901275715435,10.178991097922848,16.205579138872043,1.0027583036432595,1.0075964391691394,0.9922377198302001,194.0,1
"Hong Kong Polytechnic University",73.3,71.7,69.8,1.5,1.7,1.6,5098.0,4489.0,3732.0,24298.0,41880.0,44842.0,1.85,1.9,1.56,24.3,23.3,21.8,50.3,46.9,44.3,4.8,9.3,12.0,3501.0,3147.0,2790.0,6.94030277063696,13.30791229742612,16.072401433691756,1.4561553841759498,1.4264378773435018,1.3376344086021505,95.0,1
"Lund University",62.0,59.8,58.7,5.6,6.4,5.9,5975.0,5862.0,5865.0,26509.0,55404.0,88003.0,1.76,2.01,2.04,19.8,22.0,21.5,40.4,44.1,43.4,4.4,9.5,15.0,5658.0,5637.0,5654.0,4.685224460940262,9.828632251197446,15.564732932437213,1.0560268646164723,1.0399148483235763,1.0373187124159886,145.0,1
"Pennsylvania State University",36.4,35.5,34.4,3.8,3.9,4.2,9239.0,8733.0,8540.0,32360.0,70832.0,109210.0,1.52,1.67,1.74,17.2,19.9,20.5,38.2,41.7,42.1,3.5,8.1,12.8,8172.0,7654.0,7587.0,3.9598629466470876,9.254246145806114,14.39435877158297,1.1305677924620656,1.1409720407629997,1.125609595360485,152.0,1
"University of Leeds",55.4,52.3,50.7,5.6,5.7,5.4,5177.0,4774.0,4537.0,19414.0,40461.0,53252.0,1.69,1.77,1.72,20.6,20.7,21.1,44.5,45.9,44.5,3.8,8.5,11.7,4447.0,4105.0,3748.0,4.365639757139645,9.856516443361754,14.208110992529349,1.1641556105239488,1.1629719853836784,1.2105122732123799,119.0,1
"Sungkyunkwan University",29.5,27.1,27.6,14.4,16.3,16.1,5398.0,5434.0,5401.0,20047.0,43613.0,65993.0,1.36,1.47,1.5,17.6,17.9,17.0,39.2,38.4,35.3,3.7,8.0,12.2,5684.0,5443.0,5407.0,3.526917663617171,8.012676832629065,12.205104494174218,0.9496833216045039,0.9983465000918611,0.9988903273534308,136.0,1
"University of Nottingham",54.3,51.5,49.1,6.4,6.6,6.3,5275.0,5381.0,5162.0,21642.0,43565.0,71121.0,1.76,1.77,1.96,20.2,19.4,20.3,42.9,43.4,44.0,4.1,8.1,13.8,4981.0,4888.0,4788.0,4.344910660509938,8.912643207855973,14.854010025062657,1.0590242923107809,1.100859247135843,1.0781119465329991,131.0,1
"University of Southampton",60.1,58.7,58.6,6.2,5.8,5.4,5660.0,5679.0,5740.0,25934.0,57131.0,91360.0,1.9,2.06,2.17,21.5,21.8,23.1,43.5,43.8,46.0,4.6,10.1,15.9,4370.0,4449.0,4307.0,5.934553775743707,12.841312654529109,21.211980496865568,1.2951945080091534,1.2764666217127445,1.3327141862084977,146.0,1
"Boston University",38.8,37.9,38.5,5.4,6.1,5.8,6238.0,5944.0,5701.0,31855.0,55149.0,93179.0,2.15,1.94,2.32,21.3,23.6,25.7,45.1,48.1,47.9,5.1,9.3,16.3,5699.0,5442.0,5175.0,5.5895771187927705,10.133958103638369,18.0056038647343,1.0945779961396735,1.0922454979786842,1.1016425120772946,158.0,1
"Royal Institute of Technology",65.6,65.4,64.4,10.4,9.4,9.5,4470.0,4392.0,4162.0,17101.0,33939.0,51328.0,1.59,1.59,1.6,19.7,20.6,19.3,43.3,43.0,44.7,3.8,7.7,12.3,3359.0,3293.0,3206.0,5.09109854123251,10.306407531126633,16.009981285090454,1.330753200357249,1.3337382326146372,1.298190892077355,118.0,1
"University of St Andrews",58.8,59.8,58.5,4.1,3.4,3.7,2051.0,2103.0,2098.0,7514.0,16989.0,26241.0,1.51,1.52,1.58,19.6,20.4,20.4,41.2,40.7,42.0,3.7,8.1,12.5,1550.0,1567.0,1604.0,4.847741935483871,10.841735800893426,16.359725685785538,1.323225806451613,1.3420548819400127,1.3079800498753118,92.0,1
"Ohio State University",35.8,34.9,35.6,5.1,5.1,5.2,9669.0,9240.0,8800.0,43511.0,85610.0,123418.0,1.96,1.88,1.92,19.6,21.3,22.3,39.0,42.4,43.7,4.5,9.3,14.0,9532.0,9070.0,8615.0,4.5647293327738145,9.438809261300992,14.325943122460824,1.0143726395300041,1.0187431091510475,1.0214741729541497,172.0,2
"Eindhoven University of Technology",53.8,52.5,51.7,14.3,15.2,14.9,3005.0,2891.0,2770.0,10347.0,21230.0,28988.0,1.48,1.62,1.5,16.3,18.7,18.3,38.4,40.7,42.8,3.4,7.3,10.5,2603.0,2522.0,2409.0,3.975028812908183,8.417922283901666,12.033208800332089,1.1544371878601614,1.1463124504361617,1.1498547114985471,89.0,2
"Universidad Nacional Autónoma de México",44.2,41.3,42.3,1.6,1.5,2.1,6726.0,6378.0,6111.0,15594.0,30651.0,47811.0,0.8,0.89,0.93,9.1,9.8,9.6,20.9,23.5,23.4,2.3,4.8,7.8,9162.0,8807.0,8283.0,1.702030124426981,3.48029976155331,5.7721839913074975,0.7341191879502292,0.7241966617463381,0.7377761680550525,95.0,2
"University of California at Davis",43.5,41.7,41.5,4.5,4.1,4.5,8028.0,7851.0,7808.0,34862.0,67610.0,106079.0,1.79,1.81,1.76,20.3,21.8,21.3,42.8,44.5,45.6,4.3,8.6,13.6,7875.0,7652.0,7571.0,4.426920634920635,8.835598536330371,14.011227050587769,1.0194285714285714,1.026006272869838,1.031303658697662,153.0,2
"Yonsei University",29.0,26.4,25.6,5.9,6.5,6.6,5941.0,5715.0,5751.0,19637.0,38552.0,63293.0,1.24,1.26,1.34,13.9,15.1,14.9,36.6,39.7,36.9,3.3,6.7,11.0,6746.0,6612.0,6532.0,2.9109101689890307,5.830611010284332,9.68968156766687,0.8806700266824785,0.8643375680580763,0.8804347826086957,113.0,2
"University of Adelaide",55.5,54.8,52.5,2.9,2.8,2.6,4932.0,4837.0,4851.0,26657.0,60615.0,87726.0,2.18,2.49,2.41,23.5,24.5,23.5,42.6,44.5,42.5,5.4,12.5,18.1,3929.0,3719.0,3628.0,6.7846780351234415,16.298736219413822,24.180264608599778,1.2552812420463222,1.3006184458187684,1.3371003307607496,160.0,2
"University of Helsinki",61.6,60.9,58.9,5.6,5.2,5.8,6320.0,6262.0,6140.0,29676.0,57907.0,103813.0,1.95,1.94,2.23,19.9,20.6,21.4,42.1,43.0,43.4,4.7,9.2,16.9,6214.0,6112.0,5931.0,4.775667846797554,9.47431282722513,17.503456415444276,1.0170582555519794,1.024541884816754,1.0352385769684707,160.0,2
"Trinity College Dublin",57.6,55.8,54.5,5.0,4.3,3.8,3216.0,3070.0,2887.0,12758.0,25059.0,44791.0,1.68,1.62,1.91,18.2,18.7,20.2,36.2,37.3,38.8,4.0,8.2,15.5,3392.0,3276.0,3105.0,3.761202830188679,7.6492673992674,14.425442834138487,0.9481132075471698,0.9371184371184371,0.9297906602254429,111.0,2
"Washington University St. Louis",32.2,31.7,30.8,5.5,5.7,4.8,6835.0,6351.0,5967.0,37761.0,75529.0,113325.0,2.26,2.32,2.35,23.6,25.8,26.8,42.9,46.6,46.4,5.5,11.9,19.0,7129.0,6879.0,6346.0,5.29681582269603,10.979648204680913,17.857705641348883,0.9587599943891149,0.9232446576537288,0.9402773400567287,196.0,2
"University of Geneva",65.9,64.6,64.9,5.2,4.2,4.2,4947.0,4664.0,4632.0,24724.0,47334.0,79458.0,1.86,1.87,2.08,22.3,23.5,25.4,37.2,39.7,39.5,5.0,10.1,17.2,4470.0,4273.0,4765.0,5.531096196868009,11.077463140650597,16.675341028331584,1.1067114093959731,1.0915047975661127,0.9720881427072403,142.0,2
"Purdue University",36.4,36.3,35.2,6.0,6.3,6.3,7331.0,7132.0,6697.0,24676.0,48400.0,69834.0,1.49,1.52,1.47,17.0,17.9,17.7,42.0,42.3,42.4,3.4,6.8,10.4,6722.0,6430.0,6096.0,3.6709312704552217,7.527216174183515,11.455708661417322,1.0905980362987207,1.1091757387247279,1.0985892388451444,128.0,2
"Technical University of Denmark",63.7,60.4,60.6,11.4,10.4,10.6,4730.0,4682.0,4375.0,18491.0,41060.0,62267.0,1.57,1.74,1.84,21.5,23.4,23.9,44.4,46.5,45.0,3.9,8.8,14.2,4137.0,4073.0,3678.0,4.469664007735074,10.081021360176774,16.92958129418162,1.1433405849649505,1.1495212374171373,1.189505165851006,127.0,2
"University of Alberta",53.9,50.4,49.8,4.3,3.8,3.8,8092.0,7446.0,7418.0,30872.0,59497.0,92624.0,1.59,1.66,1.73,17.8,20.0,20.1,37.8,40.0,39.0,3.8,8.0,12.5,7464.0,7023.0,6824.0,4.136120042872454,8.471735725473444,13.573270808909731,1.0841371918542337,1.060230670653567,1.0870457209847597,142.0,2
"University of Groningen",60.6,58.5,56.8,6.1,6.9,6.5,6497.0,6322.0,6026.0,31622.0,69208.0,94778.0,1.98,2.17,2.11,21.6,24.2,24.0,43.2,47.0,47.9,4.9,10.9,15.7,5946.0,5723.0,5462.0,5.318197107299024,12.092958238686004,17.35225192237276,1.0926673393878237,1.1046653852874366,1.1032588795313072,163.0,2
"Nagoya University",33.0,30.9,30.4,5.1,5.8,4.7,5184.0,4952.0,4676.0,17688.0,32486.0,48285.0,1.22,1.23,1.21,15.3,15.2,15.9,30.4,31.0,34.0,3.4,6.6,10.3,5131.0,4999.0,4952.0,3.447281231728708,6.498499699939988,9.750605815831987,1.0103293704930814,0.9905981196239247,0.944264943457189,101.0,2
"Universidade de São Paulo",39.7,37.8,36.8,2.1,2.0,2.1,15561.0,14503.0,14311.0,40136.0,84125.0,123882.0,1.08,1.22,1.22,10.9,11.4,11.4,23.2,25.6,25.5,2.6,5.8,8.7,21767.0,20443.0,19866.0,1.8438921302889695,4.115100523406545,6.235880398671096,0.7148895116460697,0.7094359927603581,0.7203765227021041,147.0,2
"Uppsala University",62.5,60.6,61.4,6.4,6.7,6.4,6039.0,5990.0,5801.0,26142.0,58309.0,92672.0,1.7,1.94,2.14,20.6,22.6,24.0,43.6,44.5,45.0,4.3,9.7,16.0,5275.0,5364.0,5178.0,4.955829383886256,10.870432513049963,17.897257628427965,1.1448341232227488,1.116703952274422,1.1203167246040941,156.0,2
"Leiden University",58.5,57.8,55.9,5.8,5.5,5.6,6309.0,5780.0,5616.0,30319.0,55798.0,89106.0,1.91,1.76,1.93,23.3,25.4,26.6,37.6,40.3,43.1,4.8,9.7,15.9,5419.0,5084.0,4895.0,5.594943716552869,10.975216365066876,18.203472931562818,1.1642369440856246,1.1369000786782062,1.1472931562819204,147.0,2
"University of Oslo",60.1,58.5,57.8,5.8,5.7,5.5,6673.0,6475.0,6217.0,27588.0,60711.0,95395.0,1.9,2.06,2.23,18.5,20.6,21.0,39.5,39.2,37.7,4.1,9.4,15.3,6160.0,6149.0,5622.0,4.478571428571429,9.87331273377785,16.96816079686944,1.0832792207792208,1.0530167506911694,1.1058342226965492,154.0,2
"Humboldt University of Berlin",53.8,50.7,52.4,3.4,3.4,3.4,3434.0,2814.0,2528.0,15571.0,22802.0,30182.0,1.72,1.61,1.6,19.3,20.9,21.3,42.3,43.2,44.2,4.5,8.1,11.9,3707.0,2597.0,2149.0,4.200431615861883,8.780130920292645,14.044671940437413,0.9263555435662261,1.0835579514824798,1.1763610981852024,104.0,2
"Nanjing University",34.7,32.1,33.0,1.7,1.8,1.9,7985.0,7228.0,6858.0,35236.0,69197.0,97588.0,1.43,1.59,1.65,23.1,24.5,23.7,42.8,42.8,44.1,4.4,9.6,14.2,11209.0,10204.0,9453.0,3.14354536533143,6.781360250882007,10.323495186713213,0.7123739851904719,0.7083496667973344,0.7254839733417963,133.0,2
"Utrecht University",57.9,55.6,54.1,6.1,5.7,6.1,8104.0,7917.0,7446.0,38105.0,79099.0,117182.0,1.99,2.0,2.13,23.0,24.7,27.2,44.7,47.6,47.9,4.7,10.0,15.7,7611.0,7373.0,6935.0,5.006569438969912,10.728197477281975,16.89718817591925,1.0647746682433321,1.0737827207378272,1.0736842105263158,164.0,2
"University of Bern",67.4,66.2,65.1,4.7,3.8,3.7,5376.0,5037.0,4854.0,26775.0,49809.0,69139.0,2.08,2.03,1.94,21.1,23.3,23.7,42.0,43.9,42.0,5.0,9.9,14.2,4661.0,4485.0,4926.0,5.744475434456125,11.105685618729098,14.035525781567195,1.1534005578202102,1.123076923076923,0.9853836784409257,141.0,2
"Karlsruhe Institute of Technology",51.7,51.8,50.7,8.1,8.3,7.3,4701.0,4644.0,4543.0,17324.0,35735.0,54094.0,1.5,1.55,1.56,19.1,20.9,19.7,40.0,40.8,43.7,3.7,7.7,11.9,4939.0,4933.0,4783.0,3.5075926300870623,7.244070545307116,11.30963830232072,0.9518121077141122,0.941414960470302,0.9498222872674054,116.0,2
"Wageningen University & Research",69.6,67.2,66.1,7.2,7.2,8.5,3710.0,3587.0,3597.0,18514.0,39836.0,63856.0,2.11,2.29,2.53,25.8,27.2,27.4,54.1,55.7,58.2,5.0,11.1,17.8,3631.0,3531.0,3547.0,5.098870834480859,11.281789861229113,18.00281928390189,1.0217570917102727,1.0158595298782214,1.0140964195094446,132.0,2
"Chalmers University of Technology",58.9,58.7,55.5,15.4,14.0,15.3,3039.0,2892.0,2820.0,11679.0,19686.0,28065.0,1.73,1.44,1.48,18.8,18.1,17.6,38.1,40.0,39.9,3.8,6.8,10.0,2494.0,2384.0,2338.0,4.682838813151564,8.25755033557047,12.003849443969205,1.218524458700882,1.2130872483221478,1.2061591103507272,91.0,2
"Queen Mary University of London",63.0,57.8,57.7,5.9,5.4,6.1,4134.0,3851.0,3783.0,21774.0,37233.0,67331.0,2.41,2.04,2.5,22.6,23.1,25.7,45.2,46.3,46.1,5.3,9.7,17.8,3279.0,3085.0,3095.0,6.640439158279963,12.06904376012966,21.754765751211632,1.2607502287282708,1.2482982171799029,1.2222940226171244,146.0,2
"Pontificia Universidad Católica de Chile",57.9,56.5,56.5,2.3,1.8,2.2,2737.0,2900.0,2677.0,9648.0,22553.0,31945.0,1.41,1.67,1.6,16.3,16.3,18.0,29.3,29.7,28.7,3.5,7.8,11.9,3068.0,3519.0,3086.0,3.1447196870925684,6.408922989485649,10.351587815942969,0.8921121251629727,0.8240977550440466,0.8674659753726507,92.0,2
"Lancaster University",60.7,57.0,56.4,4.3,4.7,4.7,2812.0,2532.0,2469.0,12890.0,25981.0,34736.0,2.15,2.39,2.11,21.5,22.8,22.6,50.1,50.5,48.2,4.6,10.3,14.1,1697.0,1678.0,1577.0,7.595757218621096,15.48331346841478,22.026632847178185,1.6570418385385974,1.5089392133492252,1.5656309448319594,104.0,2
"University of Southern California",35.7,35.3,34.9,6.4,6.8,7.0,7816.0,7410.0,7326.0,31042.0,69496.0,96466.0,1.95,2.08,1.89,17.6,20.9,21.1,39.5,42.9,41.8,4.0,9.4,13.2,7715.0,7184.0,7039.0,4.0235904082955285,9.673719376391983,13.704503480608041,1.0130913804277382,1.0314587973273943,1.0407728370507174,163.0,2
"Free University of Berlin",51.6,50.1,48.8,4.5,3.8,3.8,3418.0,2797.0,2646.0,12946.0,20403.0,29617.0,1.57,1.42,1.4,18.2,18.9,18.1,39.7,43.8,43.2,3.8,7.3,11.2,4026.0,2921.0,2530.0,3.215598609041232,6.984936665525505,11.706324110671936,0.8489816194734228,0.9575487846627867,1.0458498023715415,88.0,2
"Ghent University",62.4,61.1,59.4,4.9,4.8,4.6,7943.0,7617.0,7515.0,33838.0,68222.0,100160.0,1.79,1.9,1.84,19.4,21.9,21.3,41.4,42.5,43.3,4.3,9.0,13.3,7190.0,6928.0,6785.0,4.7062586926286505,9.84728637413395,14.761974944731024,1.1047287899860918,1.0994515011547343,1.10759027266028,155.0,2
"Hokkaido University",33.9,30.2,30.3,4.8,5.8,5.6,4389.0,4464.0,4323.0,11869.0,24671.0,39537.0,0.98,1.0,1.09,14.0,12.9,14.2,31.2,31.7,35.0,2.7,5.5,9.1,4976.0,5186.0,4932.0,2.385249196141479,4.757231006556113,8.016423357664234,0.8820337620578779,0.8607790204396452,0.8765206812652068,87.0,2
"Kyushu University",33.6,33.1,32.1,6.0,5.4,5.5,4981.0,5072.0,5028.0,15271.0,30196.0,48301.0,1.15,1.13,1.21,14.6,14.4,14.5,30.1,31.8,32.8,3.1,6.0,9.6,5513.0,5672.0,5599.0,2.7699981861055685,5.323695345557122,8.62671905697446,0.9035008162524941,0.8942172073342737,0.8980175031255582,102.0,2
"Aalto University",61.9,60.4,59.6,5.4,6.2,5.7,3113.0,2992.0,3113.0,10429.0,20610.0,39512.0,1.58,1.64,1.8,18.1,18.1,18.6,45.3,43.4,43.7,3.4,6.9,12.7,2572.0,2506.0,2559.0,4.054821150855365,8.224261771747805,15.44040640875342,1.2103421461897357,1.1939345570630486,1.2164908167252833,100.0,2
