University,intCol2018,intCol2017,intCol2016,acaCol2018,acaCol2017,acaCol2016,pub2018,pub2017,pub2016,cit2018,cit2017,cit2016,fwCitImp2018,fwCitImp2017,fwCitImp2016,pubTCP2018,pubTCP2017,pubTCP2016,pubTJP2018,pubTJP2017,pubTJP2016,citPP2018,citPP2017,citPP2016,authors2018,authors2017,authors2016,citPA2018,citPA2017,citPA2016,pubPA2018,pubPA2017,pubPA2016,h5Index,class
"University of Pennsylvania",34.2,32.7,31.4,5.1,5.6,5.0,13120.0,11846.0,11642.0,64966.0,124120.0,191940.0,2.14,2.1,2.27,21.3,25.4,25.5,42.1,45.8,45.1,5.0,10.5,16.5,12502.0,12165.0,11527.0,5.1964485682290835,10.203041512535965,16.651340331395854,1.0494320908654615,0.973777229757501,1.009976576732888,214.0,1
"Tsinghua University",33.4,32.5,30.9,4.7,4.3,4.4,16544.0,14653.0,13918.0,73149.0,139278.0,177848.0,1.55,1.65,1.58,21.5,23.2,21.2,43.4,42.2,40.1,4.4,9.5,12.8,16766.0,15011.0,14093.0,4.3629368960992485,9.27839584304843,12.619598382175548,0.986758916855541,0.976150822729998,0.9875824877598808,177.0,1
"Yale University",39.8,39.4,38.7,4.6,4.8,5.2,9460.0,9167.0,8997.0,47548.0,102511.0,158394.0,2.02,2.15,2.35,23.5,27.1,28.3,46.1,48.5,49.6,5.0,11.2,17.6,9186.0,8588.0,8460.0,5.176137600696713,11.936539357242664,18.722695035460994,1.0298279991291095,1.0674196553330229,1.0634751773049644,209.0,1
"Columbia University",43.1,41.2,39.8,5.9,6.0,5.9,11836.0,11317.0,11036.0,61288.0,125885.0,188038.0,2.1,2.26,2.3,21.8,24.8,26.2,43.4,47.7,48.6,5.2,11.1,17.0,10984.0,10270.0,10020.0,5.579752367079388,12.257546251217137,18.76626746506986,1.0775673707210487,1.1019474196689387,1.1013972055888224,218.0,1
"Ecole Polytechnique",69.5,69.1,67.4,8.4,9.3,9.4,1924.0,1885.0,1786.0,9058.0,19831.0,25836.0,1.64,1.82,1.72,23.5,26.0,24.1,46.8,49.4,47.0,4.7,10.5,14.5,1653.0,1697.0,1686.0,5.4797338173018755,11.685916322922806,15.323843416370106,1.1639443436176649,1.1107837360047141,1.059311981020166,103.0,1
"University of Edinburgh",57.9,55.8,53.2,6.9,6.3,6.8,7631.0,7557.0,7157.0,39237.0,84165.0,126321.0,2.15,2.28,2.38,21.6,24.2,24.9,44.2,47.0,45.3,5.1,11.1,17.6,6791.0,6659.0,6314.0,5.777794139302017,12.639285177954648,20.006493506493506,1.123693123251362,1.1348550833458477,1.1335128286347798,188.0,1
"University of Michigan Ann Arbor",35.9,34.6,34.3,5.2,5.1,5.0,14984.0,14314.0,13692.0,64054.0,139853.0,212649.0,1.92,2.03,2.15,20.0,23.5,24.7,40.8,44.6,44.5,4.3,9.8,15.5,14585.0,13443.0,12833.0,4.391772368872129,10.403406977609164,16.570482350190915,1.0273568735001715,1.064792085100052,1.066936803553339,209.0,1
"Peking University",33.8,33.3,32.3,3.2,3.1,2.5,14139.0,12842.0,12579.0,62904.0,121232.0,171846.0,1.46,1.62,1.54,21.1,23.2,22.2,41.0,41.6,41.4,4.4,9.4,13.7,19662.0,18069.0,17337.0,3.1992676228257553,6.709391775969893,9.912095518255754,0.7191028379615502,0.7107200177098899,0.7255580550268212,185.0,1
"University of Tokyo",37.2,35.5,33.2,5.9,5.9,6.6,12413.0,12026.0,11958.0,43602.0,89461.0,134172.0,1.27,1.35,1.38,16.0,16.7,16.9,34.7,36.6,36.8,3.5,7.4,11.2,11914.0,11760.0,11681.0,3.659728051032399,7.607227891156462,11.486345347144937,1.0418834984052376,1.0226190476190475,1.023713723140142,164.0,1
"Johns Hopkins University",42.2,40.3,39.1,5.9,6.2,5.7,14040.0,13589.0,13159.0,73556.0,150926.0,229198.0,2.18,2.2,2.34,22.1,26.2,26.4,39.9,44.8,44.4,5.2,11.1,17.4,13492.0,13128.0,12260.0,5.451823302697895,11.49649603900061,18.694779771615007,1.0406166617254669,1.0351157830591102,1.0733278955954324,239.0,1
"Duke University",39.4,37.2,36.7,6.4,6.7,6.3,9496.0,9045.0,8731.0,45102.0,91906.0,143637.0,2.06,2.12,2.18,21.2,24.5,25.0,43.8,46.2,46.9,4.7,10.2,16.5,9028.0,8745.0,8212.0,4.995790872840053,10.509548313321899,17.49111056989771,1.0518387239698714,1.0343053173241852,1.0632001948368242,190.0,1
"University of Hong Kong",68.0,66.4,66.2,2.1,2.4,2.4,5768.0,5525.0,5315.0,24034.0,51513.0,73892.0,1.74,1.91,1.95,20.4,21.7,21.6,45.1,44.6,43.5,4.2,9.3,13.9,5230.0,5095.0,4926.0,4.595411089866157,10.110500490677135,15.000406008932197,1.102868068833652,1.084396467124632,1.0789687373122208,138.0,1
"University of Manchester",56.6,53.7,52.4,8.1,8.4,7.8,8306.0,8026.0,8276.0,36778.0,79177.0,121985.0,1.85,1.96,2.02,22.3,23.4,23.8,42.3,42.9,43.5,4.4,9.9,14.7,7370.0,7082.0,6958.0,4.99023066485753,11.180033888731996,17.531618281115264,1.1270013568521031,1.1332956791866704,1.1894222477723484,170.0,1
"University of California at Berkeley",47.9,45.9,44.3,5.9,5.6,5.9,9268.0,9271.0,9080.0,53372.0,111893.0,173188.0,2.21,2.3,2.42,27.0,28.8,30.6,50.5,52.1,52.4,5.8,12.1,19.1,8477.0,8325.0,8046.0,6.296095316739413,13.4406006006006,21.524732786477752,1.0933113129644922,1.1136336336336337,1.1285110613969673,218.0,1
"Australian National University",58.8,56.5,54.9,2.8,2.5,2.2,4951.0,4944.0,4863.0,21362.0,47301.0,73001.0,1.89,2.05,2.13,19.8,19.6,21.2,39.6,41.5,41.4,4.3,9.6,15.0,3623.0,3560.0,3492.0,5.896218603367375,13.286797752808988,20.905211912943873,1.3665470604471432,1.3887640449438203,1.3926116838487972,138.0,1
